Index;Tarih;PM10;SO2;CO;NO2;NOX;NO;PM25;IstasyonTipi
01;15.01.2019;45,71;7,67;1066,03;82,15;178,49;96,34;22,80;Sanayi
04;15.02.2019;82,41;11,11;1353,34;79,53;172,95;92,00;30,45;Sanayi
07;15.03.2019;37,59;6,50;805,06;51,83;100,05;47,49;14,15;Sanayi
10;15.04.2019;42,76;4,79;642,28;23,72;40,87;17,15;16,06;Sanayi
13;15.05.2019;59,40;5,47;525,42;45,75;61,17;15,41;22,79;Sanayi
16;15.06.2019;27,64;3,50;769,56;46,02;58,74;12,72;22,21;Sanayi
19;15.07.2019;39,33;4,20;794,02;33,93;48,37;14,44;18,44;Sanayi
22;15.08.2019;37,11;3,98;849,00;22,87;38,79;15,92;15,83;Sanayi
25;15.09.2019;47,58;4,82;1132,23;21,52;44,72;23,21;17,10;Sanayi
28;15.10.2019;66,73;9,60;1833,89;24,59;64,89;40,30;27,03;Sanayi
31;15.11.2019;86,78;8,54;2385,72;46,93;143,12;96,19;37,15;Sanayi
34;15.12.2019;81,58;6,28;2124,27;67,35;232,01;164,66;35,90;Sanayi
36;15.01.2020;71,79;10,87;1819,44;159,39;329,71;170,31;30,93;Sanayi
40;15.02.2020;44,90;5,30;1057,04;149,95;255,47;105,51;18,76;Sanayi
42;15.03.2020;78,60;10,42;1324,32;77,46;165,92;87,12;29,09;Sanayi
45;15.04.2020;33,11;6,42;504,67;44,64;74,59;29,95;13,08;Sanayi
